I r,AP Cost,MP Cost,Sphere,Range,Shape,Power,Duration
,1-10,1-20,"Determines it’s casting skills, and wether or not you're proficient in it.
Alteration , Conjuration, Destruction ,Illusion , Mysticism , Restoration,","In 5ft squares. 
PB- 0ft-5ft
Short-6ft-15ft
Medium-16ft-50ft
Long-51-200ft
Extreme-200ft+","Self,
Singular
Line, Cone, Radius (# feet), square (# feet)","The degree to which it heals or harms, Enhance or Detracts. This is DC to whioch yoru must roll againt to cast this spell. Novice is 10, Apprentice is 15, Adept is 20, Expert is 25, Master is 30",How long the effect lasts after it’s casting.
Effect,"What it does specifically, and if there are special rules about it.",,,,,,
Flames,1,1,destruction,short,cone,novice,concentration
"1 fire damage, burn condition 1 (max 1)",,,,,,,
Sparks,1,1,destruction,short,cone,novice,concentration
"1 lightning damage, 1 MP",,,,,,,
Frostbite,1,1,destruction,medium,cone,novice,concentration
"1 frost damage, 1 AP",,,,,,,
Sickly Touch,1,3,Restoration,–,Self,novice,two rounds
unarmed attacks deal +2 poison damage,,,,,,,
Healing Hands,1,1,restoration,adjacent,singular,novice,concentration
heals target 2 HP,,,,,,,
Healing,1,1,restoration,–,self,novice,concentration
heals user 2 HP,,,,,,,
Raise zombie (lesser),2,2,conjuration,short,singular,novice,three rounds
"Rasie a medium humoand cropse as a weak zombie to briefly fight for you, and acts on your turn as you would command it. It has 4 HP, 3AP and 0MP. It has one attack, Slam. 2 AP, Unarmed +3. 4 Damage.",,,,,,,
Summon spectral skeever (lesser),1,2,conjuration,short,singular,novice,three rounds
"Conjure a Specrtal Skever to the designates sqaure that fight for you and act on your turn as you would command it. It has 2 HP, 4AP and 0MP. It has one attack, bite. 1 AP, Unarmed +3. 2 Damage.",,,,,,,
Bound dagger (lesser),1,2,conjuration,-,singular,novice,three rounds
"You Conjure a Spectral Dagger to your hands. It uses your handed skill to attack. It counts as having no material, an therefore always weaker than an enemies armour type.",,,,,,,
Bound sword (lesser),1,2,conjuration,-,singular,novice,three rounds
"You Conjure a Spectral Sword to your hands. It's a one handed sword, that uses your handed skill to attack. It counts as having no material, an therefore always weaker than an enemies armour type.",,,,,,,
Candlelight,1,2,Alteration,-,self,novice,10 rounds
"You summon a Glowing orb of light to trail around you. It casts a bright cool light, with the strength of a torch, but does not take up your hands.",,,,,,,
Oakflesh (lesser),2,2,alteration,-,self,novice,six rounds
"You quickly invigorite your clothing, skin and/ or worn armour with the power of your magika, granting you Damage resistance of 2, against all attacks (unless otherwise specified ) until the effect wears of.

When you roll alteration vs the spellcasting DC of this spell, you may add the value of your roll, minus the DC, to the spells base damage reduction. You may not increase the value of your spells DR higher than your maximum magica. If you are struck by a damage source of apprentice quality or greater, halve the value of your DR for that attack. ",,,,,,,
Clairvoyance,1,2,illusion,-,self,novice,concentration
"Roll a Illusion check DC 15, for every one you succeed by you may add half that any Search chek you are making.",,,,,,,
Calm (lesser),2,2,illusion,short,?,novice,five rounds
"You attempt to cast of haze of complacency amongst a targets mind, ceasing hostile action against any and all creatures temporarily.You must roll an Illusion check with disadvantage, vs. the target who rolls 1d20 plus their will and half their level. If you fail, they know someone attempted this spell on them immediately, though not your identity or location. After a success, assuming they are alive, they will also recognize a spell had been cast upon them.",,,,,,,
Fury (lesser),2,2,illusion,short,?,novice,five rounds
"You attempt to cast a haze of anger amongst a targets mind, causing them to take hostile action against any and all Creatures temporarily. You must roll an Illusion check with disadvantage, vs. the target who rolls 1d20 plus their will and half their level. If you fail, they know someone attempted this spell on them immediately, though not your identity or location. After a success assuming they are alive, they will also recognize a spell had been cast upon them.",,,,,,,
Demoralize (lesser),,,,,,,
,,,,,,,
Charm (lesser),,,,,,,
,,,,,,,
Ward (lesser),2,2,mysticism,-,self,novice,until next round
"You May roll a contested mysticism skill vs any Target Novice magical spell you take until the next round. if you succeed, it is negated. After the first spell countered this way, all other check are made at another level of disadvantage. at 4 level of disadvantage, the ward breaks.",,,,,,,
Bound armour (lesser),1,3,conjuration,-,self,novice,five rounds
Conjures a suit of Elvish light armour on the caster,,,,,,,
Soul trap,2,2,conjuration,short,singular,apprentice,until end of next turn
soul trapped,,,,,,,
Chameleon (lesser),2,3,illusion,pb,Self or Singular,apprentice,3
you gain concealment +1,,,,,,,
Fortify health (lesser),2,2,restoration,Pb,Self or Singular,apprentice,2
gain +6 to max health,,,,,,,
Fortify magicka (lesser),2,4,restoration,pb,Self or Singular,apprentice,2
gain +5 to max MP,,,,,,,
Fortify stamina (lesser),4,2,restoration,pb,Self or Singular,apprentice,2
gain +4 to max AP,,,,,,,
Fortify skill (lesser) *,2,4,restoration,pb,Self or Singular,apprentice,5
"you gain +1 advantage on associated skill checks

*A separate version of this spell exists for each skill.",,,,,,,
Divine intervention,4,5,mysticism,-,self,adept,instantaneous
"you and 5 allies within short range teleport to nearest holy sight of the last aedra or daedra to hear yoru prayers, that you ahve previously prayed",,,,,,,
Mage Light,1,1,alteration,medium,singular,novice,10
"send a ball of light to targeted location, acting as a torch. when cast, briefly illuminates space between castor and target.",,,,,,,
Arcane shield (lesser),2,2,alteration,-,self,novice,5
"a shield of air hardens around you, increasing AC +2 until the effect wears off",,,,,,,
"Fenrick’s doorjamb
(Lesser lock)",4,1,alteration,pb,singular,apprentice,10 minutes
"When targeting a door or container, the target becomes ”locked” for the spells duration, requiring DC 10 dexterity or athletics check to open. If the target also has a mechanical lock, the mechanical lock engages and stays locked after the spell expires.",,,,,,,
"ondusi’s locksplitter
(Lesser open)",4,1,alteration,pb,singular,apprentice,-
"unlocks any magically or mechanically sealed door or container, If the DC to pick it would be 10 or lower.",,,,,,,
Aryons invisible stair (lesser levitation),2,3,alterations,-,self,apprentice,5
"rings of vapour surround you, as the air hardens beneath your feet. You gain 1 level of levitation.",,,,,,,
Earwig (sound lesser),3,2,illusion,short,singular,apprentice,1
"you conjure three motes of explosive sound, primed to go off in an enemies ear. When an enemy within range would take an action requiring a skill check, you may expend one mote, and force them to make a DC 10 will check. On a failure, they lose the action and it’s associated AP. You may spend additional motes to add +1 difficulty to the role.",,,,,,,
Crassus’ executive hush (lesser silence),,,illusion,short,10 ft shere,apprentice,
,,,,,,,
Water walking,2,3,alteration,-,self,apprentice,6
"you may walk across water, or a similar liquid, as if it were a solid surface",,,,,,,
Water breathing,2,1,alteration,-,self,novice,5
you may breathe normally while submerged in water or a similar liquid,,,,,,,
Karsus’ library aid,3,5,alteration,pb,target,novice,1 hour
"you touch an object weighing 8 pounds or less, and grant it slowfall 3 for the spells duration. 

This spell cannot be used to target creatures.",,,,,,,
Gerions assault glide,4,6,alteration,pb,radius,adept,3
yourself and affected creatures gain slowfall 2 for the spells duration.,,,,,,,
Tolfdir’s breakfall,1,3,alteration,-,self,apprentice,1
